(1,4,3),
(2,1,5),
(3,2,2),
(4,5,10),
(5,6,3),
(6,3,8),
(7,3,7),
(8,6,1),
(9,3,10),
(10,1,3),
(11,1,8),
(12,4,6),
(13,1,3),
(14,6,5),
(15,6,7),
(16,6,6),
(17,1,5),
(18,6,4),
(19,2,6),
(20,5,6),
(21,1,5),
(22,4,1),
(23,5,5),
(24,6,4),
(25,1,8),
(26,4,6),
(27,3,4),
(28,6,7),
(29,4,7),
(30,3,8),
(31,4,4),
(32,6,5),
(33,5,6),
(34,6,8),
(35,6,3),
(36,6,3),
(37,4,8),
(38,3,8),
(39,2,3),
(40,4,9),
(41,5,5),
(42,2,9),
(43,3,2),
(44,1,6),
(45,5,10),
(46,3,9),
(47,1,10),
(48,3,7),
(49,3,3),
(50,4,1),
(51,5,3),
(52,1,9),
(53,3,1),
(54,3,2),
(55,5,9),
(56,5,2),
(57,2,5),
(58,5,6),
(59,5,4),
(60,3,6),
(61,2,9),
(62,1,4),
(63,5,7),
(64,6,6),
(65,6,1),
(66,4,3),
(67,2,8),
(68,6,3),
(69,2,8),
(70,3,6),
(71,5,1),
(72,5,4),
(73,6,10),
(74,2,7),
(75,6,10),
(76,4,2),
(77,4,2),
(78,6,8),
(79,4,6),
(80,5,7),
(81,3,2),
(82,2,1),
(83,4,9),
(84,2,4),
(85,1,4),
(86,6,1),
(87,4,9),
(88,2,10),
(89,1,1),
(90,4,6),
(91,5,5),
(92,3,5),
(93,3,4),
(94,4,7),
(95,6,5),
(96,5,6),
(97,6,10),
(98,2,4),
(99,2,10),
(100,6,5),
(101,2,7),
(102,1,8),
(103,1,5),
